Set,Price_Euro,Pieces,Minifigs
The End Battle,19.99,222.0,2.0
The Pirate Ship Adventure,39.99,386.0,3.0
The Wool Farm,19.99,260.0,1.0
The Blaze Bridge,29.99,372.0,4.0
The Creeper Mine,79.99,834.0,4.0
The Flintstones,59.99,748.0,4.0
Steamboat Willie,89.99,751.0,2.0
Tree House,249.99,3036.0,4.0
Central Perk,59.99,1070.0,7.0
Dinosaur Fossils,59.99,910.0,2.0
My First Duck,,6.0,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,3.99,44.0,1.0
Fire ATV,,39.0,1.0
Sky Police Jetpack,3.99,33.0,2.0
Race Boat,3.99,34.0,1.0
Popcorn Cart,,43.0,1.0
Space Satellite,3.99,36.0,1.0
Naboo Starfighter,,48.0,
Snowspeeder,,49.0,
Minecraft Steve and Creeper Set,,36,2.0
Tulips,,90,
Emma's Bumper Cars,3.99,66,1.0
Mia's Water Fun,3.99,28,1.0
Spider-Man's Mini Spider Crawler,,73,1.0
Iron Man and Dum-E,,38,1.0
Rex's Plantimal Ambush,3.99,32,1.0
Podracer,,58,
Lucy vs. Alien Invader,,44,1.0
Mini Master-Building MetalBeard,4.99,42,1.0
Mini Master-Building Emmet,3.89,49,1.0
Sam-X,,56,
Ninja Workout,,31,1.0
Fire Flight,,54,1.0
Fish Free Builds - Make It Yours,,39,
Elsa's Winter Throne,3.99,42,1.0
Pelican,3.99,62,
Race Car,3.99,68,
Santa,,67,
Star-Stuck Emmet,,41,1.0
SHAZAM!,,5,1.0
Obi-Wan Kenobi - Collectable Minifigure,3.99,12,1.0
Futuristic Flyer,14.99,157,
Dune Buggy,12.99,147,
Deep Sea Creatures,14.99,230,
Sunset Track Racer,19.99,221,
Underwater Robot,19.99,207,
Shuttle Transporter,24.99,341,
Helicopter Adventure,9.99,114,
Riverside Houseboat,39.99,396,2.0
Race Plane,29.99,333,1.0
Fairground Carousel,49.99,595,3.0
Twin-Rotor Helicopter,59.99,569,1.0
Townhouse Pet Shop & Café,79.99,969,3.0
Outback Cabin,29.99,305,2.0
Year of the Pig,9.99,152,
MSC Cruises,,181,
Jet Fighter,,23,
Caterpillar,,48,
Viking Ship,,54,
Ladybird,,27,
Crane,,64,
Frog,,39,
Ice Cream Truck,,48,
Racing Car,,50,
Eagle,,56,
UFO,,36,
Wolf,,47,
Penguin,,47,
Battle of Hoth - 20th Anniversary Edition,,195,
Avengers Tower,19.99,211,1.0
Space Rocket Ride,,154,1.0
Newbury Juice Bar,12.99,127,2.0
Microscale Gingerbread House,19.48,499,
Christmas Tree,,392,
Sea Accessories,3.99,24,
NINJAGO Minifigure Set,12.99,59,4.0
Spider-Man and the Museum Break-In,14.99,49,3.0
Summer Celebration Minifigure Pack,12.99,45,4.0
Mars Exploration Minifigure Pack,12.99,44,4.0
LEGOLAND Park,,1336,11.0
LEGOLAND Driving School Cars,,209,4.0
Birthday Clown,9.99,150,
Valentine's Puppy,9.99,147,
Easter Chick,9.99,120,
Halloween Ghost,9.99,136,
Thanksgiving Scarecrow,9.99,177,
"Reindeer, Elf and Elfie",19.99,281,
Dragon Dance Guy,9.99,170,
LEGO House Exclusive Minifigure 2019,,7,1.0
LEGO Store Picture Frame,14.99,170,1.0
Name Sign,9.99,91,
Olaf's Traveling Sleigh,,97,1.0
Battle of Endor,,197,
LEGO House Dinosaurs,,864,
Lady Liberty,9.99,153,
Xmas Accessories,3.99,32,1.0
Rebuild the World minifigure,,6,
1989 Batmobile - Limited Edition,,366,
Reindeer,,77,
Plants from Plants,,29,
Jasmine's Petite Tower,9.99,49,1.0
